"chr"	"start"	"end"	"strand"	"pvalue"	"qvalue"	"meth.diff"
"chr1"	847539	847539	"+"	0.0488008508782833	0.798324349385366	-22.1706864564007
"chr1"	870459	870459	"+"	0.005176209947327	0.798324349385366	-14.4038070007604
"chr1"	894924	894924	"+"	0.0386749120293808	0.798324349385366	-11.1111111111111
"chr1"	895685	895685	"+"	0.019804333009692	0.798324349385366	-20.2272727272727
"chr1"	895731	895731	"+"	0.0103950179573288	0.798324349385366	11.0169491525424
"chr1"	1050679	1050679	"+"	0.00549251737618014	0.798324349385366	-13.3279914529915
"chr1"	1101076	1101076	"+"	0.0097969186490485	0.798324349385366	10.4166666666667
"chr1"	1484667	1484667	"+"	0.0386829512797402	0.798324349385366	-14.9722072798996
"chr1"	1535324	1535324	"+"	0.0102262938965138	0.798324349385366	-11.8159062464444
"chr1"	1566382	1566382	"+"	0.0471546787319526	0.798324349385366	15.2380952380952
"chr1"	1984077	1984077	"+"	0.00287701682541042	0.798324349385366	-11.5751301397906
"chr1"	2118323	2118323	"+"	0.0296087803220927	0.798324349385366	13.0354957160343
"chr1"	2916582	2916582	"+"	0.0165674725554224	0.798324349385366	-20.0352526439483
"chr1"	3683037	3683037	"+"	0.0329383997342974	0.798324349385366	-10.4479278313684
"chr1"	4329627	4329627	"+"	0.0315643286103874	0.798324349385366	13.1690739167375
"chr1"	4558225	4558225	"+"	0.0222419211580819	0.798324349385366	14.228367528992
"chr1"	4674194	4674194	"+"	0.0485292441904883	0.798324349385366	12.3678646934461
"chr1"	4688720	4688720	"+"	0.0221201575615616	0.798324349385366	-10.8747967479675
"chr1"	5779220	5779220	"+"	0.0121138726419756	0.798324349385366	11.4933114933115
"chr1"	5921717	5921717	"+"	0.0252880053689601	0.798324349385366	-12.7513942876458
"chr1"	6053132	6053132	"+"	0.00451238939241121	0.798324349385366	-11.6303727265313
"chr1"	6461870	6461870	"+"	0.00621760780338644	0.798324349385366	-21.2121212121212
"chr1"	6696344	6696344	"+"	0.0192303933208853	0.798324349385366	10.0609756097561
"chr1"	7156469	7156469	"+"	0.0338901181421459	0.798324349385366	-10.9618320610687
"chr1"	7159634	7159634	"+"	0.00533490730669661	0.798324349385366	-19.0751944684529
"chr1"	9750036	9750036	"+"	0.00462393968606632	0.798324349385366	19.3445030371804
"chr1"	11121288	11121288	"+"	0.0319085229632267	0.798324349385366	-16.9230769230769
"chr1"	11919096	11919096	"+"	0.0301490672069815	0.798324349385366	18.9075630252101
"chr1"	12139206	12139206	"+"	0.0467735145538373	0.798324349385366	11.4566284779051
"chr1"	12908225	12908225	"+"	0.00480382459549937	0.798324349385366	-14.4912790697674
"chr1"	14430333	14430333	"+"	0.0159754273816184	0.798324349385366	10.3121616744857
"chr1"	15034065	15034065	"+"	0.00699641562679992	0.798324349385366	-10.8818253940878
